아티스트,제목,곡의 빠르기,잡음,진폭의 변화,주파수의 밝기,파워,X,Y
술탄 오브 더 디스코,Shining Road,0.2588771124210463,0.08895618341889622,0.14734042966140798,0.11471543792049621,0.8901954230183715,21.731706787793613,25.38771791285261
술탄 오브 더 디스코,사라지는 꿈,0.3923711178932867,0.21916609920794555,0.03448072984549793,0.03820426614328858,0.8165909657508598,25.851633242035,27.506115285095255
스윙스(Swings),악역 (Feat. 이하이 & 사이먼 도미닉) (Prod. 코드 쿤스트),0.10757579672157624,0.36128962202189974,0.17314530202435707,0.1811079201364018,0.8501430821940325,30.378516879098996,23.50242335423755
신승훈,I Believe (엽기적인 그녀 OST),0.6654853730091297,0.03849636136725372,0.009974570737716156,0.011341423672454817,0.0531437769312253,15.693905335663867,27.962136191553395
신현희와김루트,오빠야,0.3923711178932867,0.25092369478893867,0.19941282359626628,0.1933953642969941,0.7679545478918148,31.4861257432367,33.73979090040421
싸이,나팔바지,0.6654853730091297,0.9131429921441006,0.8807372313821689,0.9208969611544127,0.7783536696513216,84.44267808164733,79.56706538905104
싸이,환희,0.47574580447627257,0.637926210048846,0.7680122142176825,0.8039978859207916,0.7030103331471582,65.46229096651244,63.87939961378042
"싹쓰리(유두래곤, 린다G, 비룡)",그 여름을 틀어줘,0.3923711178932867,0.9650906589508357,0.9210882879125655,0.9602441451725517,0.9282315235847017,83.757571161723,72.25471520278919
씨야,그놈 목소리,0.761206540659798,0.9318361309640559,0.9428826539221136,0.9830187716328985,0.8593489883422133,89.77890672995159,86.87814133055485
씨엔블루,Can`t Stop,0.6654853730091297,0.5976080216361921,0.6610797934099195,0.5624649212989817,0.8470834068777294,64.53110747559579,65.53722349968243
아나야,큰 애기 놀아난다,0.6654853730091297,0.23171522313988058,0.3110736010486097,0.3983129286466946,0.3501423250479413,36.28434094369637,46.62572099614949
아웃사이더(Outsider),"Luv Business (Feat. Bizniz a.k.a Young GM, J'kyun)",0.6654853730091297,0.6722995043916846,0.805526191406309,0.7965739235066818,0.4779420559487455,69.05737125853042,70.16383282202932
아웃사이더(Outsider),슬피 우는 새 (Feat. 이수영),0.13409901690031967,0.18528069909984962,0.05106249412327592,0.06700966492444989,0.4902703821616757,16.687258655327152,14.480914669582557
악동뮤지션(AKMU),200%,0.2588771124210463,0.5097255086024647,0.6711934005150348,0.747328014516904,0.3777691502493845,50.2414022504831,47.60045938599912
악동뮤지션(AKMU),시간과 낙엽,0.9968288087825973,0.19650938027141873,0.18462447364507856,0.15983146380518232,0.0402781019682118,33.49053651714421,49.13014592270542
악동뮤지션(AKMU),째깍 째깍 째깍 (with Beenzino),0.3923711178932867,0.19637836791945545,0.19941390444544804,0.18032823923536417,0.26334493256499925,24.127566881556543,27.886920594192258
애니밴드,Promise You,0.3199772389206965,0.7324941123536987,0.5875183251571167,0.6463378881774902,0.3666722513510505,57.579777170989615,48.467877460567486
양요섭,카페인 (Feat. 용준형),0.2083709341932341,0.11432229721823567,0.2295979954162118,0.1965476915204048,0.8310865695256526,23.608613091378917,26.31183977390058
엄프,"그래도 (Feat. 마수혜, 쇼리 Of 마이티마우스)",0.16724242015660895,0.3563163594616232,0.36121166520831105,0.3988313020576836,0.6206654078200887,35.01670318454105,31.660373824401372
업타운(UpTown),다시 만나 줘,0.3199772389206965,0.5626956939373979,0.7035750133321049,0.6590096591254377,0.37512261526566115,53.32019554646294,49.42896609800931
